text,label
"Illegal dumping spotted near river",1
"Unauthorized excavation within protected forest",1
"Pipeline tampering reported by locals",1
"Construction noise reported downtown",1
"Deforestation activity observed in conservation area",1
"Chemical spill cleanup in progress",1
"Suspicious vehicles parked near wildlife sanctuary",1
"Road construction blocking access to national park",1
"Industrial waste found in protected wetland",1
"Great weather for a hike today",0
"Birds nesting by the lake, beautiful scene",0
"Road repair completed successfully",0
"New trail opened for hikers",0
"Wildlife photography workshop this weekend",0
"Park maintenance scheduled for next week",0
"Beautiful sunset over the mountains",0
"Fishing season opens tomorrow",0
"Community cleanup event at the beach",0
"New picnic area now open",0
